banda,comprimento_onda_nm,fora_intervalo_count
band_350,350,0
band_351,351,0
band_352,352,0
band_353,353,0
band_354,354,0
band_355,355,0
band_356,356,0
band_357,357,0
band_358,358,0
band_359,359,0
band_360,360,0
band_361,361,0
band_362,362,0
band_363,363,0
band_364,364,0
band_365,365,0
band_366,366,0
band_367,367,0
band_368,368,0
band_369,369,0
band_370,370,0
band_371,371,0
band_372,372,0
band_373,373,0
band_374,374,0
band_375,375,0
band_376,376,0
band_377,377,0
band_378,378,0
band_379,379,0
band_380,380,0
band_381,381,0
band_382,382,0
band_383,383,0
band_384,384,0
band_385,385,0
band_386,386,0
band_387,387,0
band_388,388,0
band_389,389,0
band_390,390,0
band_391,391,0
band_392,392,0
band_393,393,0
band_394,394,0
band_395,395,0
band_396,396,0
band_397,397,0
band_398,398,0
band_399,399,0
band_400,400,0
band_401,401,0
band_402,402,0
band_403,403,0
band_404,404,0
band_405,405,0
band_406,406,0
band_407,407,0
band_408,408,0
band_409,409,0
band_410,410,0
band_411,411,0
band_412,412,0
band_413,413,0
band_414,414,0
band_415,415,0
band_416,416,0
band_417,417,0
band_418,418,0
band_419,419,0
band_420,420,0
band_421,421,0
band_422,422,0
band_423,423,0
band_424,424,0
band_425,425,0
band_426,426,0
band_427,427,0
band_428,428,0
band_429,429,0
band_430,430,0
band_431,431,0
band_432,432,0
band_433,433,0
band_434,434,0
band_435,435,0
band_436,436,0
band_437,437,0
band_438,438,0
band_439,439,0
band_440,440,0
band_441,441,0
band_442,442,0
band_443,443,0
band_444,444,0
band_445,445,0
band_446,446,0
band_447,447,0
band_448,448,0
band_449,449,0
band_450,450,0
band_451,451,0
band_452,452,0
band_453,453,0
band_454,454,0
band_455,455,0
band_456,456,0
band_457,457,0
band_458,458,0
band_459,459,0
band_460,460,0
band_461,461,0
band_462,462,0
band_463,463,0
band_464,464,0
band_465,465,0
band_466,466,0
band_467,467,0
band_468,468,0
band_469,469,0
band_470,470,0
band_471,471,0
band_472,472,0
band_473,473,0
band_474,474,0
band_475,475,0
band_476,476,0
band_477,477,0
band_478,478,0
band_479,479,0
band_480,480,0
band_481,481,0
band_482,482,0
band_483,483,0
band_484,484,0
band_485,485,0
band_486,486,0
band_487,487,0
band_488,488,0
band_489,489,0
band_490,490,0
band_491,491,0
band_492,492,0
band_493,493,0
band_494,494,0
band_495,495,0
band_496,496,0
band_497,497,0
band_498,498,0
band_499,499,0
band_500,500,0
band_501,501,0
band_502,502,0
band_503,503,0
band_504,504,0
band_505,505,0
band_506,506,0
band_507,507,0
band_508,508,0
band_509,509,0
band_510,510,0
band_511,511,0
band_512,512,0
band_513,513,0
band_514,514,0
band_515,515,0
band_516,516,0
band_517,517,0
band_518,518,0
band_519,519,0
band_520,520,0
band_521,521,0
band_522,522,0
band_523,523,0
band_524,524,0
band_525,525,0
band_526,526,0
band_527,527,0
band_528,528,0
band_529,529,0
band_530,530,0
band_531,531,0
band_532,532,0
band_533,533,0
band_534,534,0
band_535,535,0
band_536,536,0
band_537,537,0
band_538,538,0
band_539,539,0
band_540,540,0
band_541,541,0
band_542,542,0
band_543,543,0
band_544,544,0
band_545,545,0
band_546,546,0
band_547,547,0
band_548,548,0
band_549,549,0
band_550,550,0
band_551,551,0
band_552,552,0
band_553,553,0
band_554,554,0
band_555,555,0
band_556,556,0
band_557,557,0
band_558,558,0
band_559,559,0
band_560,560,0
band_561,561,0
band_562,562,0
band_563,563,0
band_564,564,0
band_565,565,0
band_566,566,0
band_567,567,0
band_568,568,0
band_569,569,0
band_570,570,0
band_571,571,0
band_572,572,0
band_573,573,0
band_574,574,0
band_575,575,0
band_576,576,0
band_577,577,0
band_578,578,0
band_579,579,0
band_580,580,0
band_581,581,0
band_582,582,0
band_583,583,0
band_584,584,0
band_585,585,0
band_586,586,0
band_587,587,0
band_588,588,0
band_589,589,0
band_590,590,0
band_591,591,0
band_592,592,0
band_593,593,0
band_594,594,0
band_595,595,0
band_596,596,0
band_597,597,0
band_598,598,0
band_599,599,0
band_600,600,0
band_601,601,0
band_602,602,0
band_603,603,0
band_604,604,0
band_605,605,0
band_606,606,0
band_607,607,0
band_608,608,0
band_609,609,0
band_610,610,0
band_611,611,0
band_612,612,0
band_613,613,0
band_614,614,0
band_615,615,0
band_616,616,0
band_617,617,0
band_618,618,0
band_619,619,0
band_620,620,0
band_621,621,0
band_622,622,0
band_623,623,0
band_624,624,0
band_625,625,0
band_626,626,0
band_627,627,0
band_628,628,0
band_629,629,0
band_630,630,0
band_631,631,0
band_632,632,0
band_633,633,0
band_634,634,0
band_635,635,0
band_636,636,0
band_637,637,0
band_638,638,0
band_639,639,0
band_640,640,0
band_641,641,0
band_642,642,0
band_643,643,0
band_644,644,0
band_645,645,0
band_646,646,0
band_647,647,0
band_648,648,0
band_649,649,0
band_650,650,0
band_651,651,0
band_652,652,0
band_653,653,0
band_654,654,0
band_655,655,0
band_656,656,0
band_657,657,0
band_658,658,0
band_659,659,0
band_660,660,0
band_661,661,0
band_662,662,0
band_663,663,0
band_664,664,0
band_665,665,0
band_666,666,0
band_667,667,0
band_668,668,0
band_669,669,0
band_670,670,0
band_671,671,0
band_672,672,0
band_673,673,0
band_674,674,0
band_675,675,0
band_676,676,0
band_677,677,0
band_678,678,0
band_679,679,0
band_680,680,0
band_681,681,0
band_682,682,0
band_683,683,0
band_684,684,0
band_685,685,0
band_686,686,0
band_687,687,0
band_688,688,0
band_689,689,0
band_690,690,0
band_691,691,0
band_692,692,0
band_693,693,0
band_694,694,0
band_695,695,0
band_696,696,0
band_697,697,0
band_698,698,0
band_699,699,0
band_700,700,0
band_701,701,0
band_702,702,0
band_703,703,0
band_704,704,0
band_705,705,0
band_706,706,0
band_707,707,0
band_708,708,0
band_709,709,0
band_710,710,0
band_711,711,0
band_712,712,0
band_713,713,0
band_714,714,0
band_715,715,0
band_716,716,0
band_717,717,0
band_718,718,0
band_719,719,0
band_720,720,0
band_721,721,0
band_722,722,0
band_723,723,0
band_724,724,0
band_725,725,0
band_726,726,0
band_727,727,0
band_728,728,0
band_729,729,0
band_730,730,0
band_731,731,0
band_732,732,0
band_733,733,0
band_734,734,0
band_735,735,0
band_736,736,0
band_737,737,0
band_738,738,0
band_739,739,0
band_740,740,0
band_741,741,0
band_742,742,0
band_743,743,0
band_744,744,0
band_745,745,0
band_746,746,0
band_747,747,0
band_748,748,0
band_749,749,0
band_750,750,0
band_751,751,0
band_752,752,0
band_753,753,0
band_754,754,0
band_755,755,0
band_756,756,0
band_757,757,0
band_758,758,0
band_759,759,0
band_760,760,0
band_761,761,0
band_762,762,0
band_763,763,0
band_764,764,0
band_765,765,0
band_766,766,0
band_767,767,0
band_768,768,0
band_769,769,0
band_770,770,0
band_771,771,0
band_772,772,0
band_773,773,0
band_774,774,0
band_775,775,0
band_776,776,0
band_777,777,0
band_778,778,0
band_779,779,0
band_780,780,0
band_781,781,0
band_782,782,0
band_783,783,0
band_784,784,0
band_785,785,0
band_786,786,0
band_787,787,0
band_788,788,0
band_789,789,0
band_790,790,0
band_791,791,0
band_792,792,0
band_793,793,0
band_794,794,0
band_795,795,0
band_796,796,0
band_797,797,0
band_798,798,0
band_799,799,0
band_800,800,0
band_801,801,0
band_802,802,0
band_803,803,0
band_804,804,0
band_805,805,0
band_806,806,0
band_807,807,0
band_808,808,0
band_809,809,0
band_810,810,0
band_811,811,0
band_812,812,0
band_813,813,0
band_814,814,0
band_815,815,0
band_816,816,0
band_817,817,0
band_818,818,0
band_819,819,0
band_820,820,0
band_821,821,0
band_822,822,0
band_823,823,0
band_824,824,0
band_825,825,0
band_826,826,0
band_827,827,0
band_828,828,0
band_829,829,0
band_830,830,0
band_831,831,0
band_832,832,0
band_833,833,0
band_834,834,0
band_835,835,0
band_836,836,0
band_837,837,0
band_838,838,0
band_839,839,0
band_840,840,0
band_841,841,0
band_842,842,0
band_843,843,0
band_844,844,0
band_845,845,0
band_846,846,0
band_847,847,0
band_848,848,0
band_849,849,0
band_850,850,0
band_851,851,0
band_852,852,0
band_853,853,0
band_854,854,0
band_855,855,0
band_856,856,0
band_857,857,0
band_858,858,0
band_859,859,0
band_860,860,0
band_861,861,0
band_862,862,0
band_863,863,0
band_864,864,0
band_865,865,0
band_866,866,0
band_867,867,0
band_868,868,0
band_869,869,0
band_870,870,0
band_871,871,0
band_872,872,0
band_873,873,0
band_874,874,0
band_875,875,0
band_876,876,0
band_877,877,0
band_878,878,0
band_879,879,0
band_880,880,0
band_881,881,0
band_882,882,0
band_883,883,0
band_884,884,0
band_885,885,0
band_886,886,0
band_887,887,0
band_888,888,0
band_889,889,0
band_890,890,0
band_891,891,0
band_892,892,0
band_893,893,0
band_894,894,0
band_895,895,0
band_896,896,0
band_897,897,0
band_898,898,0
band_899,899,0
band_900,900,0
band_901,901,0
band_902,902,0
band_903,903,0
band_904,904,0
band_905,905,0
band_906,906,0
band_907,907,0
band_908,908,0
band_909,909,0
band_910,910,0
band_911,911,0
band_912,912,0
band_913,913,0
band_914,914,0
band_915,915,0
band_916,916,0
band_917,917,0
band_918,918,0
band_919,919,0
band_920,920,0
band_921,921,0
band_922,922,0
band_923,923,0
band_924,924,0
band_925,925,0
band_926,926,0
band_927,927,0
band_928,928,0
band_929,929,0
band_930,930,0
band_931,931,0
band_932,932,0
band_933,933,0
band_934,934,0
band_935,935,0
band_936,936,0
band_937,937,0
band_938,938,0
band_939,939,0
band_940,940,0
band_941,941,0
band_942,942,0
band_943,943,0
band_944,944,0
band_945,945,0
band_946,946,0
band_947,947,0
band_948,948,0
band_949,949,0
band_950,950,0
band_951,951,0
band_952,952,0
band_953,953,0
band_954,954,0
band_955,955,0
band_956,956,0
band_957,957,0
band_958,958,0
band_959,959,0
band_960,960,0
band_961,961,0
band_962,962,0
band_963,963,0
band_964,964,0
band_965,965,0
band_966,966,0
band_967,967,0
band_968,968,0
band_969,969,0
band_970,970,0
band_971,971,0
band_972,972,0
band_973,973,0
band_974,974,0
band_975,975,0
band_976,976,0
band_977,977,0
band_978,978,0
band_979,979,0
band_980,980,0
band_981,981,0
band_982,982,0
band_983,983,0
band_984,984,0
band_985,985,0
band_986,986,0
band_987,987,0
band_988,988,0
band_989,989,0
band_990,990,0
band_991,991,0
band_992,992,0
band_993,993,0
band_994,994,0
band_995,995,0
band_996,996,0
band_997,997,0
band_998,998,0
band_999,999,0
band_1000,1000,0
band_1001,1001,0
band_1002,1002,0
band_1003,1003,0
band_1004,1004,0
band_1005,1005,0
band_1006,1006,0
band_1007,1007,0
band_1008,1008,0
band_1009,1009,0
band_1010,1010,0
band_1011,1011,0
band_1012,1012,0
band_1013,1013,0
band_1014,1014,0
band_1015,1015,0
band_1016,1016,0
band_1017,1017,0
band_1018,1018,0
band_1019,1019,0
band_1020,1020,0
band_1021,1021,0
band_1022,1022,0
band_1023,1023,0
band_1024,1024,0
band_1025,1025,0
band_1026,1026,0
band_1027,1027,0
band_1028,1028,0
band_1029,1029,0
band_1030,1030,0
band_1031,1031,0
band_1032,1032,0
band_1033,1033,0
band_1034,1034,0
band_1035,1035,0
band_1036,1036,0
band_1037,1037,0
band_1038,1038,0
band_1039,1039,0
band_1040,1040,0
band_1041,1041,0
band_1042,1042,0
band_1043,1043,0
band_1044,1044,0
band_1045,1045,0
band_1046,1046,0
band_1047,1047,0
band_1048,1048,0
band_1049,1049,0
band_1050,1050,0
band_1051,1051,0
band_1052,1052,0
band_1053,1053,0
band_1054,1054,0
band_1055,1055,0
band_1056,1056,0
band_1057,1057,0
band_1058,1058,0
band_1059,1059,0
band_1060,1060,0
band_1061,1061,0
band_1062,1062,0
band_1063,1063,0
band_1064,1064,0
band_1065,1065,0
band_1066,1066,0
band_1067,1067,0
band_1068,1068,0
band_1069,1069,0
band_1070,1070,0
band_1071,1071,0
band_1072,1072,0
band_1073,1073,0
band_1074,1074,0
band_1075,1075,0
band_1076,1076,0
band_1077,1077,0
band_1078,1078,0
band_1079,1079,0
band_1080,1080,0
band_1081,1081,0
band_1082,1082,0
band_1083,1083,0
band_1084,1084,0
band_1085,1085,0
band_1086,1086,0
band_1087,1087,0
band_1088,1088,0
band_1089,1089,0
band_1090,1090,0
band_1091,1091,0
band_1092,1092,0
band_1093,1093,0
band_1094,1094,0
band_1095,1095,0
band_1096,1096,0
band_1097,1097,0
band_1098,1098,0
band_1099,1099,0
band_1100,1100,0
band_1101,1101,0
band_1102,1102,0
band_1103,1103,0
band_1104,1104,0
band_1105,1105,0
band_1106,1106,0
band_1107,1107,0
band_1108,1108,0
band_1109,1109,0
band_1110,1110,0
band_1111,1111,0
band_1112,1112,0
band_1113,1113,0
band_1114,1114,0
band_1115,1115,0
band_1116,1116,0
band_1117,1117,0
band_1118,1118,0
band_1119,1119,0
band_1120,1120,0
band_1121,1121,0
band_1122,1122,0
band_1123,1123,0
band_1124,1124,0
band_1125,1125,0
band_1126,1126,0
band_1127,1127,0
band_1128,1128,0
band_1129,1129,0
band_1130,1130,0
band_1131,1131,0
band_1132,1132,0
band_1133,1133,0
band_1134,1134,0
band_1135,1135,0
band_1136,1136,0
band_1137,1137,0
band_1138,1138,0
band_1139,1139,0
band_1140,1140,0
band_1141,1141,0
band_1142,1142,0
band_1143,1143,0
band_1144,1144,0
band_1145,1145,0
band_1146,1146,0
band_1147,1147,0
band_1148,1148,0
band_1149,1149,0
band_1150,1150,0
band_1151,1151,0
band_1152,1152,0
band_1153,1153,0
band_1154,1154,0
band_1155,1155,0
band_1156,1156,0
band_1157,1157,0
band_1158,1158,0
band_1159,1159,0
band_1160,1160,0
band_1161,1161,0
band_1162,1162,0
band_1163,1163,0
band_1164,1164,0
band_1165,1165,0
band_1166,1166,0
band_1167,1167,0
band_1168,1168,0
band_1169,1169,0
band_1170,1170,0
band_1171,1171,0
band_1172,1172,0
band_1173,1173,0
band_1174,1174,0
band_1175,1175,0
band_1176,1176,0
band_1177,1177,0
band_1178,1178,0
band_1179,1179,0
band_1180,1180,0
band_1181,1181,0
band_1182,1182,0
band_1183,1183,0
band_1184,1184,0
band_1185,1185,0
band_1186,1186,0
band_1187,1187,0
band_1188,1188,0
band_1189,1189,0
band_1190,1190,0
band_1191,1191,0
band_1192,1192,0
band_1193,1193,0
band_1194,1194,0
band_1195,1195,0
band_1196,1196,0
band_1197,1197,0
band_1198,1198,0
band_1199,1199,0
band_1200,1200,0
band_1201,1201,0
band_1202,1202,0
band_1203,1203,0
band_1204,1204,0
band_1205,1205,0
band_1206,1206,0
band_1207,1207,0
band_1208,1208,0
band_1209,1209,0
band_1210,1210,0
band_1211,1211,0
band_1212,1212,0
band_1213,1213,0
band_1214,1214,0
band_1215,1215,0
band_1216,1216,0
band_1217,1217,0
band_1218,1218,0
band_1219,1219,0
band_1220,1220,0
band_1221,1221,0
band_1222,1222,0
band_1223,1223,0
band_1224,1224,0
band_1225,1225,0
band_1226,1226,0
band_1227,1227,0
band_1228,1228,0
band_1229,1229,0
band_1230,1230,0
band_1231,1231,0
band_1232,1232,0
band_1233,1233,0
band_1234,1234,0
band_1235,1235,0
band_1236,1236,0
band_1237,1237,0
band_1238,1238,0
band_1239,1239,0
band_1240,1240,0
band_1241,1241,0
band_1242,1242,0
band_1243,1243,0
band_1244,1244,0
band_1245,1245,0
band_1246,1246,0
band_1247,1247,0
band_1248,1248,0
band_1249,1249,0
band_1250,1250,0
band_1251,1251,0
band_1252,1252,0
band_1253,1253,0
band_1254,1254,0
band_1255,1255,0
band_1256,1256,0
band_1257,1257,0
band_1258,1258,0
band_1259,1259,0
band_1260,1260,0
band_1261,1261,0
band_1262,1262,0
band_1263,1263,0
band_1264,1264,0
band_1265,1265,0
band_1266,1266,0
band_1267,1267,0
band_1268,1268,0
band_1269,1269,0
band_1270,1270,0
band_1271,1271,0
band_1272,1272,0
band_1273,1273,0
band_1274,1274,0
band_1275,1275,0
band_1276,1276,0
band_1277,1277,0
band_1278,1278,0
band_1279,1279,0
band_1280,1280,0
band_1281,1281,0
band_1282,1282,0
band_1283,1283,0
band_1284,1284,0
band_1285,1285,0
band_1286,1286,0
band_1287,1287,0
band_1288,1288,0
band_1289,1289,0
band_1290,1290,0
band_1291,1291,0
band_1292,1292,0
band_1293,1293,0
band_1294,1294,0
band_1295,1295,0
band_1296,1296,0
band_1297,1297,0
band_1298,1298,0
band_1299,1299,0
band_1300,1300,0
band_1301,1301,0
band_1302,1302,0
band_1303,1303,0
band_1304,1304,0
band_1305,1305,0
band_1306,1306,0
band_1307,1307,0
band_1308,1308,0
band_1309,1309,0
band_1310,1310,0
band_1311,1311,0
band_1312,1312,0
band_1313,1313,0
band_1314,1314,0
band_1315,1315,0
band_1316,1316,0
band_1317,1317,0
band_1318,1318,0
band_1319,1319,0
band_1320,1320,0
band_1321,1321,0
band_1322,1322,0
band_1323,1323,0
band_1324,1324,0
band_1325,1325,0
band_1326,1326,0
band_1327,1327,0
band_1328,1328,0
band_1329,1329,0
band_1330,1330,0
band_1331,1331,0
band_1332,1332,0
band_1333,1333,0
band_1334,1334,0
band_1335,1335,0
band_1336,1336,0
band_1337,1337,0
band_1338,1338,0
band_1339,1339,0
band_1340,1340,0
band_1341,1341,0
band_1342,1342,0
band_1343,1343,0
band_1344,1344,0
band_1345,1345,0
band_1346,1346,0
band_1347,1347,0
band_1348,1348,0
band_1349,1349,0
band_1350,1350,0
band_1351,1351,0
band_1352,1352,0
band_1353,1353,0
band_1354,1354,0
band_1355,1355,0
band_1356,1356,0
band_1357,1357,0
band_1358,1358,0
band_1359,1359,0
band_1360,1360,0
band_1361,1361,0
band_1362,1362,0
band_1363,1363,0
band_1364,1364,0
band_1365,1365,0
band_1366,1366,0
band_1367,1367,0
band_1368,1368,0
band_1369,1369,0
band_1370,1370,0
band_1371,1371,0
band_1372,1372,0
band_1373,1373,0
band_1374,1374,0
band_1375,1375,0
band_1376,1376,0
band_1377,1377,0
band_1378,1378,0
band_1379,1379,0
band_1380,1380,0
band_1381,1381,0
band_1382,1382,0
band_1383,1383,0
band_1384,1384,0
band_1385,1385,0
band_1386,1386,0
band_1387,1387,0
band_1388,1388,0
band_1389,1389,0
band_1390,1390,0
band_1391,1391,0
band_1392,1392,0
band_1393,1393,0
band_1394,1394,0
band_1395,1395,0
band_1396,1396,0
band_1397,1397,0
band_1398,1398,0
band_1399,1399,0
band_1400,1400,0
band_1401,1401,0
band_1402,1402,0
band_1403,1403,0
band_1404,1404,0
band_1405,1405,0
band_1406,1406,0
band_1407,1407,0
band_1408,1408,0
band_1409,1409,0
band_1410,1410,0
band_1411,1411,0
band_1412,1412,0
band_1413,1413,0
band_1414,1414,0
band_1415,1415,0
band_1416,1416,0
band_1417,1417,0
band_1418,1418,0
band_1419,1419,0
band_1420,1420,0
band_1421,1421,0
band_1422,1422,0
band_1423,1423,0
band_1424,1424,0
band_1425,1425,0
band_1426,1426,0
band_1427,1427,0
band_1428,1428,0
band_1429,1429,0
band_1430,1430,0
band_1431,1431,0
band_1432,1432,0
band_1433,1433,0
band_1434,1434,0
band_1435,1435,0
band_1436,1436,0
band_1437,1437,0
band_1438,1438,0
band_1439,1439,0
band_1440,1440,0
band_1441,1441,0
band_1442,1442,0
band_1443,1443,0
band_1444,1444,0
band_1445,1445,0
band_1446,1446,0
band_1447,1447,0
band_1448,1448,0
band_1449,1449,0
band_1450,1450,0
band_1451,1451,0
band_1452,1452,0
band_1453,1453,0
band_1454,1454,0
band_1455,1455,0
band_1456,1456,0
band_1457,1457,0
band_1458,1458,0
band_1459,1459,0
band_1460,1460,0
band_1461,1461,0
